uid,catalog,number,species,scientificName,age,heightM,girthCm,canopyM,address,grade,lat,lng,coordinateQuality,sourcePage,sourceDocument
姑苏区-金484,姑苏区,金484,朴树,Celtis sinensis Pers.,112,17,154,14,苏州市立医院北区,三级,31.339148,120.600532,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-金485,姑苏区,金485,香樟,Camphora officinarum Nees,111,17,284,20,苏州市第五中学,三级,31.322927,120.615985,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-金486,姑苏区,金486,银杏,Ginkgo biloba L.,115,17,144,10.5,西园寺,三级,31.295421,120.620985,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-金487,姑苏区,金487,黄杨,Buxus sinica (Rehder & E. H. Wilson) M. Cheng,113,7,61,4.2,西园寺,三级,31.337048,120.622332,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-金488,姑苏区,金488,香樟,Camphora officinarum Nees,111,20,263,24.5,西园寺,三级,31.320697,120.633861,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-金489,姑苏区,金489,紫薇,Lagerstroemia indica L.,113,7,140,8,西园寺,三级,31.315078,120.628692,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-金490,姑苏区,金490,蚊母树,Distylium racemosum Siebold & Zucc.,113,9,134,12,苏州农业职业技术学院,三级,31.306229,120.610382,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-金491,姑苏区,金491,香樟,Camphora officinarum Nees,114,17,277,19.5,苏州农业职业技术学院,三级,31.292482,120.627514,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-金492,姑苏区,金492,香樟,Camphora officinarum Nees,115,17,300,22.5,苏州农业职业技术学院,三级,31.303342,120.634684,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-金493,姑苏区,金493,木樨,Osmanthus fragrans (Thunb.) Lour.,113,7,110,6.4,苏州农业职业技术学院,三级,31.295592,120.617131,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
